Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
archaeology,2024all,en-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,1,0,5,1,1233410996,00:00:01
archaeology,2024all,en-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,1,0,5,1,-,-
archaeology,2024all,en-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,1,0,5,1,1302543680,00:00:01
archaeology,2024all,en-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,1,0,5,1,-,-
archaeology,2024all,de-en,matcha.tar.gz,ALL,0.016666666666666666,0.058823529411764705,0.058823529411764705,0.025974025974025976,1,59,16,60,3677780814998,01:01:17
archaeology,2024all,de-en,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-en,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-en,matcha.tar.gz,INSTANCES,0.016666666666666666,0.058823529411764705,0.058823529411764705,0.025974025974025976,1,59,16,60,-,-
archaeology,2024all,de-fr,matcha.tar.gz,ALL,0.04411764705882353,0.17647058823529413,0.17647058823529413,0.07058823529411765,3,65,14,68,3515473178473,00:58:35
archaeology,2024all,de-fr,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-fr,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-fr,matcha.tar.gz,INSTANCES,0.04411764705882353,0.17647058823529413,0.17647058823529413,0.07058823529411765,3,65,14,68,-,-
archaeology,2024all,it-it,matcha.tar.gz,ALL,0.3,0.75,0.75,0.4285714285714285,3,7,1,10,9828542121,00:00:09
archaeology,2024all,it-it,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,it-it,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,it-it,matcha.tar.gz,INSTANCES,0.3,0.75,0.75,0.4285714285714285,3,7,1,10,-,-
archaeology,2024all,en-en,matcha.tar.gz,ALL,0.75,0.5,0.5,0.6,3,1,3,4,9858760741,00:00:09
archaeology,2024all,en-en,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-en,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-en,matcha.tar.gz,INSTANCES,0.75,0.5,0.5,0.6,3,1,3,4,-,-
archaeology,2024all,fr-fr,matcha.tar.gz,ALL,0.25,0.25,0.25,0.25,1,3,3,4,9820985233,00:00:09
archaeology,2024all,fr-fr,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-fr,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-fr,matcha.tar.gz,INSTANCES,0.25,0.25,0.25,0.25,1,3,3,4,-,-
archaeology,2024all,de-de,matcha.tar.gz,ALL,1.0,0.11764705882352941,0.11764705882352941,0.21052631578947367,2,0,15,2,16093015766,00:00:16
archaeology,2024all,de-de,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-de,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-de,matcha.tar.gz,INSTANCES,1.0,0.11764705882352941,0.11764705882352941,0.21052631578947367,2,0,15,2,-,-
archaeology,2024all,en-fr,matcha.tar.gz,ALL,0.02857142857142857,0.3333333333333333,0.3333333333333333,0.05263157894736842,2,68,4,70,1871236548530,00:31:11
archaeology,2024all,en-fr,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-fr,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-fr,matcha.tar.gz,INSTANCES,0.02857142857142857,0.3333333333333333,0.3333333333333333,0.05263157894736842,2,68,4,70,-,-
archaeology,2024all,de-it,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,17,1,2642909984,00:00:02
archaeology,2024all,de-it,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-it,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-it,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,17,0,-,-
archaeology,2024all,fr-it,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,4,1,2435854841,00:00:02
archaeology,2024all,fr-it,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-it,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-it,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,4,0,-,-
archaeology,2024all,de-en,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,17,1,2855750143,00:00:02
archaeology,2024all,de-en,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-en,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-en,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,17,0,-,-
archaeology,2024all,de-fr,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,17,1,3831075504,00:00:03
archaeology,2024all,de-fr,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-fr,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-fr,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,17,0,-,-
archaeology,2024all,it-it,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,4,1,2447363258,00:00:02
archaeology,2024all,it-it,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,it-it,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,it-it,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,4,0,-,-
archaeology,2024all,en-en,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,6,1,2517129278,00:00:02
archaeology,2024all,en-en,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-en,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-en,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,6,0,-,-
archaeology,2024all,fr-fr,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,4,1,2436914529,00:00:02
archaeology,2024all,fr-fr,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-fr,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-fr,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,4,0,-,-
archaeology,2024all,en-it,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,6,1,2456068487,00:00:02
archaeology,2024all,en-it,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-it,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-it,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,6,0,-,-
archaeology,2024all,de-de,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,17,1,2958509244,00:00:02
archaeology,2024all,de-de,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-de,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-de,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,17,0,-,-
archaeology,2024all,en-fr,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,6,1,2483094036,00:00:02
archaeology,2024all,en-fr,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-fr,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-fr,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,6,0,-,-
archaeology,2024all,de-it,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.5,0.11764705882352941,0.11764705882352941,0.19047619047619047,2,2,15,4,1141386150,00:00:01
archaeology,2024all,de-it,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-it,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-it,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.5,0.11764705882352941,0.11764705882352941,0.19047619047619047,2,2,15,4,-,-
archaeology,2024all,fr-it,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,4,1,863659581,00:00:00
archaeology,2024all,fr-it,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-it,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-it,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,1,4,1,-,-
archaeology,2024all,de-en,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.25,0.058823529411764705,0.058823529411764705,0.09523809523809523,1,3,16,4,1609395665,00:00:01
archaeology,2024all,de-en,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-en,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-en,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.25,0.058823529411764705,0.058823529411764705,0.09523809523809523,1,3,16,4,-,-
archaeology,2024all,de-fr,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.4,0.11764705882352941,0.11764705882352941,0.1818181818181818,2,3,15,5,1358209426,00:00:01
archaeology,2024all,de-fr,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
