Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
dhmultiling,2024all,matcha_new.tar.gz,ALL,0.4033333333333333,0.22450980392156863,0.22450980392156866,0.24040077136186974,0.2692307692307692,0.30434782608695654,0.30434782608695654,0.28571428571428575,7,7,19,16,43,642655580577,00:10:42
dhmultiling,2024all,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,matcha_new.tar.gz,INSTANCES,0.4033333333333333,0.22450980392156858,0.22450980392156863,0.2404007713618698,0.2692307692307692,0.30434782608695654,0.30434782608695654,0.28571428571428575,7,7,19,16,43,-,-
