Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
dhmultiling,2024all,idai-pactols_de-fr,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,17,1,2948547521,00:00:02
dhmultiling,2024all,idai-pactols_de-fr,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dhmultiling,2024all,idai-pactols_de-fr,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_de-fr,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,17,0,-,-
dhmultiling,2024all,idai-pactols_en-it,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,6,1,1833438742,00:00:01
dhmultiling,2024all,idai-pactols_en-it,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dhmultiling,2024all,idai-pactols_en-it,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_en-it,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,6,0,-,-
dhmultiling,2024all,idai-pactols_it-it,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,4,1,1842349578,00:00:01
dhmultiling,2024all,idai-pactols_it-it,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dhmultiling,2024all,idai-pactols_it-it,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_it-it,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,4,0,-,-
dhmultiling,2024all,idai-pactols_en-en,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,6,1,1855010442,00:00:01
dhmultiling,2024all,idai-pactols_en-en,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dhmultiling,2024all,idai-pactols_en-en,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_en-en,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,6,0,-,-
dhmultiling,2024all,idai-pactols_fr-it,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,4,1,1672220872,00:00:01
dhmultiling,2024all,idai-pactols_fr-it,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dhmultiling,2024all,idai-pactols_fr-it,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
