Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
dhmultiling,2024all,lsmatch-multilingual-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,17,10,23194130695,00:00:23
dhmultiling,2024all,lsmatch-multilingual-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,-,-
dhmultiling,2024all,lsmatch-multilingual-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,lsmatch-multilingual-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17,0,-,-
dhmultiling,2024all,tim-1.0-web-latest.tar.gz,ALL,0.002976190476190476,0.05,0.05,0.005616653574234093,0.0021598272138228943,0.05555555555555555,0.05555555555555555,0.004158004158004158,1,1,462,17,691,10727234781,00:00:10
dhmultiling,2024all,tim-1.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,-,-
dhmultiling,2024all,tim-1.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,46,0,178,-,-
dhmultiling,2024all,tim-1.0-web-latest.tar.gz,INSTANCES,0.00391337386018237,0.05,0.05,0.007254901960784313,0.002403846153846154,0.05555555555555555,0.05555555555555555,0.004608294930875577,1,1,415,17,503,-,-
dhmultiling,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.49674242424242426,0.2215686274509804,0.2215686274509804,0.26129870129870125,0.4375,0.4666666666666667,0.4666666666666667,0.45161290322580644,14,14,18,16,49,18155441031,00:00:18
dhmultiling,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.49674242424242426,0.2215686274509804,0.22156862745098035,0.26129870129870125,0.4375,0.4666666666666667,0.4666666666666667,0.45161290322580644,14,14,18,16,49,-,-
dhmultiling,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,ALL,0.314539627039627,0.2941176470588235,0.2941176470588235,0.2380735930735931,0.3137254901960784,0.5,0.5,0.3855421686746988,16,16,35,16,81,13589288599,00:00:13
dhmultiling,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,logmap-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.314539627039627,0.2941176470588235,0.2941176470588235,0.2380735930735931,0.3137254901960784,0.5,0.5,0.3855421686746988,16,16,35,16,81,-,-
dhmultiling,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,17,10,3750697093181,01:02:30
dhmultiling,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,-,-
dhmultiling,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,logmap-lite-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17,0,-,-
dhmultiling,2024all,lsmatch-2.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,17,10,22776672222,00:00:22
dhmultiling,2024all,lsmatch-2.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,-,-
dhmultiling,2024all,lsmatch-2.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,lsmatch-2.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17,0,-,-
dhmultiling,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,ALL,0.49674242424242426,0.22156862745098035,0.2215686274509804,0.26129870129870125,0.4375,0.4666666666666667,0.4666666666666667,0.45161290322580644,14,14,18,16,49,13850143893,00:00:13
dhmultiling,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dhmultiling,2024all,logmap-kg-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
