Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
ALL,0.002976190476190476,0.05,0.05,0.005616653574234093,0.0021598272138228943,0.05555555555555555,0.05555555555555555,0.004158004158004158,1,1,462,17,691,10727234781,00:00:10
CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,46,0,178,-,-
INSTANCES,0.00391337386018237,0.05,0.05,0.007254901960784313,0.002403846153846154,0.05555555555555555,0.05555555555555555,0.004608294930875577,1,1,415,17,503,-,-
